s,m/s,,s
Time,error,iter,cputime
 6.461E+00, 9.908E-05, 1.160E+02, 6.687E+03
 6.480E+00, 9.931E-05, 1.169E+02, 6.713E+03
 6.501E+00, 9.901E-05, 1.055E+02, 6.738E+03
 6.521E+00, 9.884E-05, 1.115E+02, 6.763E+03
 6.540E+00, 9.868E-05, 1.057E+02, 6.788E+03
 6.561E+00, 9.886E-05, 1.068E+02, 6.814E+03
 6.581E+00, 9.912E-05, 1.162E+02, 6.838E+03
 6.600E+00, 9.861E-05, 1.079E+02, 6.860E+03
 6.621E+00, 9.886E-05, 1.180E+02, 6.882E+03
 6.641E+00, 9.884E-05, 1.150E+02, 6.905E+03
 6.661E+00, 9.928E-05, 1.198E+02, 6.927E+03
 6.681E+00, 9.902E-05, 1.387E+02, 6.950E+03
 6.701E+00, 9.919E-05, 1.338E+02, 6.973E+03
 6.720E+00, 9.885E-05, 1.285E+02, 6.998E+03
 6.741E+00, 9.875E-05, 1.296E+02, 7.022E+03
 6.760E+00, 9.901E-05, 1.375E+02, 7.045E+03
 6.781E+00, 9.903E-05, 1.316E+02, 7.068E+03
 6.800E+00, 9.884E-05, 1.312E+02, 7.093E+03
 6.820E+00, 9.900E-05, 1.296E+02, 7.116E+03
 6.841E+00, 9.917E-05, 1.394E+02, 7.141E+03
 6.861E+00, 9.882E-05, 1.273E+02, 7.165E+03
 6.881E+00, 9.887E-05, 1.347E+02, 7.189E+03
 6.901E+00, 9.912E-05, 1.283E+02, 7.213E+03
 6.921E+00, 9.900E-05, 1.211E+02, 7.238E+03
 6.941E+00, 9.894E-05, 1.309E+02, 7.262E+03
 6.961E+00, 9.910E-05, 1.356E+02, 7.287E+03
 6.981E+00, 9.874E-05, 1.022E+02, 7.312E+03
 7.001E+00, 9.885E-05, 1.248E+02, 7.335E+03
 7.021E+00, 9.898E-05, 1.394E+02, 7.361E+03
 7.041E+00, 9.872E-05, 1.171E+02, 7.386E+03
 7.061E+00, 9.916E-05, 1.394E+02, 7.411E+03
 7.080E+00, 9.889E-05, 1.178E+02, 7.437E+03
 7.100E+00, 9.914E-05, 1.292E+02, 7.464E+03
 7.121E+00, 9.882E-05, 1.216E+02, 7.492E+03
 7.140E+00, 9.875E-05, 1.050E+02, 7.517E+03
 7.160E+00, 9.902E-05, 1.177E+02, 7.542E+03
 7.181E+00, 9.878E-05, 1.256E+02, 7.568E+03
 7.200E+00, 9.897E-05, 1.250E+02, 7.596E+03
 7.221E+00, 9.907E-05, 1.303E+02, 7.626E+03
 7.241E+00, 9.887E-05, 1.352E+02, 7.656E+03
 7.260E+00, 9.874E-05, 1.232E+02, 7.684E+03
 7.280E+00, 9.906E-05, 1.368E+02, 7.710E+03
 7.300E+00, 9.866E-05, 1.400E+02, 7.735E+03
 7.321E+00, 9.900E-05, 1.366E+02, 7.765E+03
 7.341E+00, 9.894E-05, 1.394E+02, 7.793E+03
 7.361E+00, 9.896E-05, 1.430E+02, 7.822E+03
 7.380E+00, 9.882E-05, 1.376E+02, 7.850E+03
 7.400E+00, 9.903E-05, 1.233E+02, 7.875E+03
 7.421E+00, 9.865E-05, 1.156E+02, 7.899E+03
 7.440E+00, 9.903E-05, 1.269E+02, 7.924E+03
 7.461E+00, 9.900E-05, 1.186E+02, 7.949E+03
 7.480E+00, 9.888E-05, 1.092E+02, 7.974E+03
 7.500E+00, 9.903E-05, 1.210E+02, 7.999E+03
 7.521E+00, 9.909E-05, 1.385E+02, 8.024E+03
 7.541E+00, 9.914E-05, 1.291E+02, 8.048E+03
 7.560E+00, 9.913E-05, 1.247E+02, 8.070E+03
 7.580E+00, 9.860E-05, 1.091E+02, 8.091E+03
