s,Pa,m/s,
Time,"pres","error","iter"
 6.4846145E-001, 2.7609973E-002, 3.5044256E-004, 1.0000000E+000
 6.5015323E-001, 2.7873789E-002, 4.0365452E-004, 1.0000000E+000
 6.5240894E-001, 2.8156211E-002, 4.5183783E-004, 1.0000000E+000
 6.5410073E-001, 2.9849504E-002, 4.8843934E-004, 1.0000000E+000
 6.5635644E-001, 3.3017703E-002, 4.9833942E-004, 1.5000000E+000
 6.5804822E-001, 3.4997191E-002, 4.9165756E-004, 1.0000000E+000
 6.6030393E-001, 3.5214237E-002, 4.7626679E-004, 1.0000000E+000
 6.6255965E-001, 3.5434463E-002, 4.5024023E-004, 1.0000000E+000
 6.6425143E-001, 3.5606464E-002, 4.2350701E-004, 1.0000000E+000
 6.6650714E-001, 3.5761536E-002, 3.9805653E-004, 1.0000000E+000
 6.6819893E-001, 3.5903157E-002, 3.6889458E-004, 1.0000000E+000
 6.7045464E-001, 3.6030081E-002, 3.3893152E-004, 1.0000000E+000
 6.7214642E-001, 3.6141601E-002, 3.0247703E-004, 1.0000000E+000
 6.7440213E-001, 3.6231499E-002, 2.6039702E-004, 1.0000000E+000
 6.7609392E-001, 3.6295828E-002, 2.1662613E-004, 1.0000000E+000
 6.7834963E-001, 3.6324404E-002, 1.6968532E-004, 1.0000000E+000
 6.8004141E-001, 3.6313476E-002, 1.2592713E-004, 1.0000000E+000
 6.8229713E-001, 3.6252340E-002, 1.1651505E-004, 1.0000000E+000
 6.8455284E-001, 3.6119087E-002, 1.3726524E-004, 1.0000000E+000
 6.8624462E-001, 3.5944557E-002, 1.5790541E-004, 1.0000000E+000
 6.8850033E-001, 3.5712322E-002, 1.8699191E-004, 1.0000000E+000
