s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 4.0285552E-001, 4.9437660E-002, 9.9876506E-006, 5.3333333E+000, 7.2653521E+002
 4.0458289E-001, 4.9334090E-002, 9.9856549E-006, 4.5000000E+000, 7.2940847E+002
 4.0631026E-001, 4.9255249E-002, 9.9816268E-006, 5.0000000E+000, 7.3169970E+002
 4.0803763E-001, 4.9179002E-002, 9.9816648E-006, 5.0000000E+000, 7.3417360E+002
 4.1062868E-001, 4.9103841E-002, 9.9894884E-006, 6.0000000E+000, 7.3738598E+002
 4.1235605E-001, 4.9042739E-002, 9.9835780E-006, 7.0000000E+000, 7.4076671E+002
 4.1408342E-001, 4.9004604E-002, 9.9839911E-006, 8.0000000E+000, 7.4361388E+002
 4.1667447E-001, 4.8938647E-002, 9.9917142E-006, 7.0000000E+000, 7.4699769E+002
 4.1840184E-001, 4.8844272E-002, 9.9947383E-006, 5.5000000E+000, 7.5031102E+002
 4.2012921E-001, 4.8755439E-002, 9.9768533E-006, 5.0000000E+000, 7.5250597E+002
 4.2263291E-001, 4.8646905E-002, 9.9742361E-006, 4.3449628E+000, 7.5553645E+002
 4.2418558E-001, 4.8549183E-002, 9.9733074E-006, 4.0000000E+000, 7.5854757E+002
 4.2651458E-001, 4.8458175E-002, 9.9633951E-006, 4.0000000E+000, 7.6103199E+002
 4.2806725E-001, 4.8400515E-002, 9.9821059E-006, 5.5000000E+000, 7.6388381E+002
 4.3039625E-001, 4.8371292E-002, 9.9853448E-006, 7.0000000E+000, 7.6734531E+002
 4.3272525E-001, 4.8341089E-002, 9.9920842E-006, 7.3333333E+000, 7.7201759E+002
 4.3427792E-001, 4.8268050E-002, 9.9916276E-006, 5.5000000E+000, 7.7540050E+002
 4.3660692E-001, 4.8157748E-002, 9.9769255E-006, 4.0000000E+000, 7.7822075E+002
 4.3815959E-001, 4.8042031E-002, 9.9906359E-006, 3.5000000E+000, 7.8105718E+002
 4.4048859E-001, 4.7944237E-002, 9.9443702E-006, 4.3333333E+000, 7.8360438E+002
 4.4204126E-001, 4.7833877E-002, 9.9166941E-006, 3.5000000E+000, 7.8602721E+002
 4.4437026E-001, 4.7727294E-002, 9.9452919E-006, 3.6666667E+000, 7.8849610E+002
 4.4669926E-001, 4.7645351E-002, 9.9688428E-006, 6.0000000E+000, 7.9165351E+002
 4.4825193E-001, 4.7653706E-002, 9.9909551E-006, 8.5000000E+000, 7.9558434E+002
 4.5058093E-001, 4.7642059E-002, 9.9854517E-006, 8.6666667E+000, 7.9975738E+002
 4.5213360E-001, 4.7568242E-002, 9.9708084E-006, 6.0000000E+000, 8.0310634E+002
 4.5446260E-001, 4.7449994E-002, 9.9551463E-006, 4.0000000E+000, 8.0637796E+002
 4.5601527E-001, 4.7323833E-002, 9.9304546E-006, 3.5000000E+000, 8.0911052E+002
