s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.9117459E+001, 9.9981091E-001, 9.9451437E-001, 9.9466004E-004, 1.2000000E+001
 1.9206118E+001, 9.9980592E-001, 9.9347706E-001, 9.9909681E-004, 9.0000000E+001
 1.9294776E+001, 9.9980586E-001, 9.9284108E-001, 9.8849946E-004, 1.0000000E+001
 1.9383435E+001, 9.9981053E-001, 9.9211921E-001, 9.7298183E-004, 9.0000000E+000
 1.9472094E+001, 9.9981977E-001, 9.9119598E-001, 9.1245390E-004, 8.0000000E+000
 1.9560753E+001, 9.9983285E-001, 9.9012171E-001, 8.4458331E-004, 8.0000000E+000
 1.9649411E+001, 9.9984924E-001, 9.8901727E-001, 8.6351254E-004, 8.0000000E+000
 1.9738070E+001, 9.9986813E-001, 9.8791618E-001, 9.5070204E-004, 8.0000000E+000
 1.9826729E+001, 9.9988854E-001, 9.8669928E-001, 7.9868676E-004, 1.0000000E+001
 1.9915387E+001, 9.9990812E-001, 9.8521874E-001, 9.0186415E-004, 1.0000000E+001
 2.0004046E+001, 9.9992310E-001, 9.8326174E-001, 9.2272672E-004, 1.2000000E+001
 2.0092705E+001, 9.9993029E-001, 9.8078570E-001, 9.3181395E-004, 1.4000000E+001
 2.0181363E+001, 9.9993059E-001, 9.7795898E-001, 9.6744707E-004, 1.6000000E+001
 2.0270022E+001, 9.9992967E-001, 9.7519080E-001, 9.9676282E-004, 1.8000000E+001
 2.0358681E+001, 9.9993460E-001, 9.7307592E-001, 9.9697701E-004, 2.3000000E+001
 2.0447339E+001, 9.9994662E-001, 9.7186490E-001, 9.9632648E-004, 2.6000000E+001
 2.0535998E+001, 9.9996002E-001, 9.7131247E-001, 9.9458468E-004, 2.3000000E+001
 2.0624657E+001, 9.9997017E-001, 9.7115467E-001, 9.9210775E-004, 1.9000000E+001
 2.0713316E+001, 9.9997554E-001, 9.7124486E-001, 9.9723995E-004, 1.5000000E+001
 2.0801974E+001, 9.9997617E-001, 9.7155534E-001, 9.9010528E-004, 1.3000000E+001
 2.0890633E+001, 9.9997274E-001, 9.7206123E-001, 9.9739250E-004, 1.2000000E+001
 2.0979292E+001, 9.9996541E-001, 9.7269599E-001, 9.8154367E-004, 1.6000000E+001
 2.1067950E+001, 9.9995604E-001, 9.7353751E-001, 9.9689080E-004, 1.4000000E+001
 2.1156609E+001, 9.9994625E-001, 9.7468696E-001, 9.6012171E-004, 1.4000000E+001
 2.1245268E+001, 9.9993660E-001, 9.7606805E-001, 9.1600262E-004, 1.2000000E+001
 2.1333926E+001, 9.9992721E-001, 9.7752379E-001, 9.6947220E-004, 9.0000000E+000
 2.1422585E+001, 9.9991858E-001, 9.7899045E-001, 9.3514921E-004, 8.0000000E+000
 2.1511244E+001, 9.9991022E-001, 9.8048436E-001, 9.9193136E-004, 8.0000000E+000
 2.1599902E+001, 9.9990270E-001, 9.8207753E-001, 9.1096924E-004, 8.0000000E+000
 2.1688561E+001, 9.9989657E-001, 9.8388002E-001, 7.8934497E-004, 8.0000000E+000
 2.1777220E+001, 9.9989235E-001, 9.8596817E-001, 8.3084909E-004, 8.0000000E+000
 2.1865879E+001, 9.9989000E-001, 9.8834768E-001, 8.1128125E-004, 8.0000000E+000
 2.1954537E+001, 9.9988971E-001, 9.9096784E-001, 9.3128723E-004, 8.0000000E+000
 2.2043196E+001, 9.9989121E-001, 9.9375954E-001, 9.9358801E-004, 8.0000000E+000
 2.2131855E+001, 9.9989425E-001, 9.9663332E-001, 9.5485673E-004, 9.0000000E+000
 2.2220513E+001, 9.9989893E-001, 9.9970843E-001, 9.8067294E-004, 9.0000000E+000
 2.2309172E+001, 9.9990493E-001, 1.0029051E+000, 9.8794390E-004, 1.2000000E+001
 2.2397831E+001, 9.9991290E-001, 1.0065862E+000, 9.9561359E-004, 1.9000000E+001
 2.2486489E+001, 9.9992260E-001, 1.0105505E+000, 9.9932096E-004, 1.8000000E+001
 2.2575148E+001, 9.9993575E-001, 1.0141075E+000, 9.9950353E-004, 1.6000000E+001
 2.2663807E+001, 9.9995376E-001, 1.0170480E+000, 9.9021125E-004, 1.8000000E+001
 2.2752465E+001, 9.9997696E-001, 1.0193832E+000, 9.9375057E-004, 1.7000000E+001
 2.2841124E+001, 1.0000043E+000, 1.0210320E+000, 9.9962545E-004, 1.5000000E+001
 2.2929783E+001, 1.0000346E+000, 1.0220126E+000, 9.5225381E-004, 1.5000000E+001
 2.3018441E+001, 1.0000661E+000, 1.0224072E+000, 9.5389355E-004, 1.3000000E+001
 2.3107100E+001, 1.0000973E+000, 1.0224879E+000, 9.5988219E-004, 1.2000000E+001
 2.3195759E+001, 1.0001268E+000, 1.0224753E+000, 9.7697959E-004, 1.0000000E+001
 2.3284418E+001, 1.0001538E+000, 1.0226004E+000, 8.2363742E-004, 1.0000000E+001
 2.3373076E+001, 1.0001773E+000, 1.0230031E+000, 9.2728175E-004, 1.0000000E+001
 2.3461735E+001, 1.0001938E+000, 1.0236537E+000, 9.9916694E-004, 2.1000000E+001
 2.3550394E+001, 1.0001942E+000, 1.0234240E+000, 9.9909276E-004, 3.4000000E+001
 2.3639052E+001, 1.0001903E+000, 1.0232626E+000, 9.8893504E-004, 1.0000000E+001
 2.3727711E+001, 1.0001837E+000, 1.0234209E+000, 9.5715366E-004, 1.2000000E+001
 2.3816370E+001, 1.0001733E+000, 1.0235439E+000, 9.0539555E-004, 1.2000000E+001
 2.3905028E+001, 1.0001603E+000, 1.0233632E+000, 9.5216507E-004, 1.2000000E+001
 2.3993687E+001, 1.0001451E+000, 1.0227999E+000, 9.5027459E-004, 1.2000000E+001
 2.4082346E+001, 1.0001288E+000, 1.0219089E+000, 9.7692410E-004, 1.1000000E+001
 2.4171004E+001, 1.0001124E+000, 1.0208369E+000, 8.3216140E-004, 1.1000000E+001
 2.4259663E+001, 1.0000969E+000, 1.0196448E+000, 9.4371157E-004, 9.0000000E+000
 2.4348322E+001, 1.0000836E+000, 1.0184144E+000, 8.7295439E-004, 1.0000000E+001
 2.4436981E+001, 1.0000728E+000, 1.0170530E+000, 9.0741743E-004, 9.0000000E+000
 2.4525639E+001, 1.0000642E+000, 1.0155095E+000, 9.4897589E-004, 9.0000000E+000
 2.4614298E+001, 1.0000576E+000, 1.0136756E+000, 9.8780025E-004, 9.0000000E+000
 2.4702957E+001, 1.0000523E+000, 1.0116348E+000, 9.4177959E-004, 8.0000000E+000
 2.4791615E+001, 1.0000475E+000, 1.0093200E+000, 9.7589916E-004, 8.0000000E+000
 2.4880274E+001, 1.0000422E+000, 1.0066097E+000, 9.1522453E-004, 9.0000000E+000
 2.4968933E+001, 1.0000358E+000, 1.0036605E+000, 9.3680478E-004, 1.0000000E+001
 2.5057591E+001, 1.0000269E+000, 1.0006505E+000, 9.7214750E-004, 1.0000000E+001
 2.5146250E+001, 1.0000145E+000, 9.9760014E-001, 9.3533948E-004, 1.0000000E+001
